point_id,district,Total,Exact_Minus_One,Very_Low,Very_High,Minimum,Maximum,Mean,Exact_Minus_One_Percent
P097,Nandurbar,204,0,0,0,0.03806584328413,0.8390804529190063,0.4581844187615549,0.0
P098,Nashik,192,0,0,0,0.0264598540961742,0.6929594278335571,0.25081548601156095,0.0
P099,Nashik,187,0,0,0,0.0233393181115388,0.6567745804786682,0.2517335250037398,0.0
P100,Nashik,201,0,0,0,-0.0886899903416633,0.3440467715263366,0.186868173362159,0.0
P101,Nashik,210,0,0,0,0.1056970804929733,0.7589353919029236,0.4332827486097813,0.0
P102,Osmanabad,188,0,0,0,0.0572687238454818,0.7266742587089539,0.16944612001881318,0.0
P103,Osmanabad,184,0,0,0,0.0698689967393875,0.8808587789535522,0.32863377678491495,0.0
P104,Osmanabad,179,0,0,0,0.0656620040535926,0.5050975680351257,0.18005210594091997,0.0
P105,Osmanabad,255,0,0,0,0.0936143845319747,0.6516823768615723,0.25092095680096566,0.0
P106,Parbhani,195,0,0,0,0.0544177889823913,0.7692964673042297,0.3113313171917047,0.0
P107,Parbhani,194,0,0,0,0.1297950595617294,0.7460105419158936,0.39342103798672096,0.0
P108,Parbhani,194,0,0,0,0.1020080298185348,0.8889948725700378,0.5035221519467142,0.0
P109,Parbhani,191,0,0,0,0.1340425461530685,0.5867668986320496,0.30098598173463526,0.0
P110,Pune,204,0,0,0,0.1355105191469192,0.8517646789550781,0.5381408717994597,0.0
P111,Pune,200,0,0,0,0.1073934137821197,0.7471497058868408,0.2939562809839844,0.0
P112,Pune,198,0,0,0,0.0559772290289402,0.4516765177249908,0.25717089733466353,0.0
P113,Pune,211,0,0,0,0.1667849570512771,0.7951706647872925,0.4714587163444944,0.0
P114,Raigarh,247,0,0,0,0.0798517987132072,0.7465609908103943,0.273792043720421,0.0
P115,Raigarh,252,0,0,0,-0.2606382966041565,0.5266714096069336,0.18018496963971603,0.0
P116,Raigarh,249,0,0,0,0.4162748754024505,0.8725029230117798,0.7014202549754376,0.0
P117,Raigarh,260,0,0,0,0.061172742396593,0.6682429909706116,0.22641308472420157,0.0
P118,Sangli,254,0,0,0,0.0631822794675827,0.8982859253883362,0.33131947016387475,0.0
P119,Sangli,174,0,0,0,-0.0538461543619632,0.5581550598144531,0.2056377821751795,0.0
P120,Sangli,185,0,0,0,0.0907841026782989,0.7827534079551697,0.40960027857406717,0.0
