point_id,district,records,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_percent
P060,Kolhapur,468,245,0.3598470690603159,24.72552366754312,24.813514486366454,52.35042735042735
P061,Latur,468,273,0.37221883420214985,20.935329455681753,26.15741877588842,58.333333333333336
P062,Latur,468,263,0.3977314019759412,19.301092350187375,25.65453834875262,56.1965811965812
P063,Latur,468,265,0.30841241293358346,21.012143487427803,25.641933756802327,56.623931623931625
P064,Latur,468,257,0.3091753557005513,19.5729217120982,25.59488178714293,54.91452991452992
P065,Latur,468,258,0.4452304921524469,19.172675628888392,25.567165268093408,55.12820512820513
P066,Latur,468,258,0.3661754698485367,19.32072806983965,25.41451959652684,55.12820512820513
P067,Latur,468,256,0.32952980618574657,20.561102438939635,25.641933756802327,54.700854700854705
P068,Latur,468,252,0.369098454772953,19.40197764305032,25.679161600121475,53.84615384615385
P069,Latur,468,263,0.3280254688836322,20.71221897700223,26.629719049580295,56.1965811965812
P070,Latur,468,262,0.5417528981698378,21.286755935757014,26.34470740098222,55.98290598290598
P071,Latur,468,256,0.40945845187525265,19.321966361461637,25.480689804176535,54.700854700854705
P072,Latur,468,256,0.4338696749055089,20.02538472762254,25.64599956268698,54.700854700854705
P073,Latur,468,257,0.3257185199555256,19.64652298276183,25.694574032831273,54.91452991452992
P074,Latur,468,260,0.4549085552732532,20.40284650412761,26.015240496991392,55.55555555555556
P075,Latur,468,264,0.305035821204497,20.828092667306887,26.529117511722898,56.41025641025641
P076,Latur,468,256,0.25008012038415467,19.04656183516467,25.379679700908135,54.700854700854705
P077,Latur,468,265,0.36000814065337183,19.28248085577081,25.49129563759731,56.623931623931625
P078,Latur,468,262,0.47497548447310467,19.937157215147085,25.726322027042645,55.98290598290598
P079,Latur,468,268,0.3795298351280725,20.53129481644654,26.28767527656728,57.26495726495726
P080,Latur,468,247,0.3540571500068372,18.997882825308615,25.65453834875262,52.77777777777778
P081,Latur,468,258,0.39806156634360323,19.288107307112366,25.480689804176535,55.12820512820513
P082,Latur,468,264,0.2948207171690283,20.200492975839744,25.583800888061546,56.41025641025641
P083,Latur,468,267,0.3405453291501892,21.264253604339157,26.015690497746565,57.05128205128205
P084,Latur,468,258,0.21765171332725197,20.40650609355461,25.69477822859211,55.12820512820513
P085,Latur,468,261,0.33430323654150595,19.242102838692933,25.59488178714293,55.769230769230774
P086,Nagpur,468,273,0.3944761805567249,27.469993341236567,26.75114838115367,58.333333333333336
