Week_Start,NDVI_mean,NDVI_median,Rainfall_mean,Rainfall_median,Temperature_mean,Temperature_median,NDVI_available
2017-08-06,,,18.838831836235023,10.09404182434082,25.667929090853956,25.853447214762355,0
2017-08-13,,,45.562849876766435,44.09423351287842,25.276355880789534,25.303890028453964,0
2017-08-20,,,67.35162828211298,54.661712646484375,24.58304844908748,24.500834946405348,0
2017-08-27,,,92.07463613670029,83.13761043548584,24.847445491293694,24.76572925022674,0
2017-09-03,,,39.185145981297524,34.257737159729004,26.00780160282291,26.04758079165504,0
2017-09-10,,,97.62976439841493,95.31164503097534,25.77279561088745,25.74840598333452,0
2017-09-17,0.653221607208252,0.653221607208252,60.59471234875525,53.96081161499024,24.649246104653503,24.728269558861143,1
2017-09-24,0.7217970357129448,0.7587109804153442,29.01582465200367,24.905510902404785,26.264146274319756,26.28612798055019,38
2017-10-01,0.7044848948717117,0.7152073979377747,26.621435502332126,27.324923038482662,26.40284688735847,26.52489387875511,4
2017-10-08,,,69.16378508070986,74.62096786499023,25.169218154506964,25.128854824247867,0
2017-10-15,0.7045369949191809,0.7232602536678314,13.087001939019757,11.95459270477295,25.574868793993375,25.432830883207828,16
2017-10-22,0.5550489105058439,0.5976505279541016,0.6161562111563311,0.0,24.826347844689757,24.72530899047854,33
2017-10-29,0.5420013365088677,0.5566120147705078,0.949144202078174,0.0,23.59635556310477,23.620505087716253,147
2017-11-05,0.5301870067142745,0.5680949687957764,0.698967245524515,0.0,23.48289659737795,23.325791931152366,103
2017-11-12,0.44975968323990534,0.4675886034965515,0.7929246611223963,0.0,23.51812499540977,23.42236471630281,87
2017-11-19,0.48129296196358545,0.5075374841690063,4.245484287153461,3.3402318954467773,24.498660348696987,24.398705055600143,98
2017-11-26,0.4770713429088178,0.4784692674875259,1.4406760695451748,0.0,22.458583167505516,22.21026409694128,92
2017-12-03,0.4517163939381901,0.4370290637016296,2.056884547907435,0.0,23.384393665149496,23.298666890462243,95
2017-12-10,0.4568829420858469,0.4213770776987076,0.14169803922047872,0.0,23.170839458494967,23.144671649024588,156
2017-12-17,0.5140557736158371,0.5212876498699188,0.6322599831455482,0.0,21.50169872950721,21.34519066583545,4
2017-12-24,0.42794159473851323,0.4098126143217087,0.2520647934097016,0.0,21.195825193680918,21.021456019083644,164
