Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
198,0.04749543995402957,0.07065667979700392,0.8909889270201385,30.0,0.8,1,8,700
71,0.047291655757781416,0.0706578719170359,0.8909852485178236,,1.0,2,8,500
232,0.04731841534005218,0.07065854942938446,0.8909831579030795,30.0,1.0,2,8,300
277,0.04751457511292467,0.07066418218333403,0.890965776014296,40.0,0.8,1,8,300
6,0.04774148917527756,0.07066519611549271,0.8909626470146863,,0.6,1,4,700
7,0.04771448815654224,0.07066916729375201,0.8909503915068467,,0.6,1,8,300
165,0.047736224705422284,0.07067227716743923,0.8909407936020477,30.0,0.6,1,2,700
69,0.047339521851009245,0.07067595812977173,0.8909294326186064,,1.0,2,4,700
66,0.047339521851009245,0.07067595812977175,0.8909294326186064,,1.0,2,2,700
196,0.04753788249002523,0.07068143472884798,0.8909125284569138,30.0,0.8,1,8,300
312,0.04735744895641104,0.07068571345147802,0.8908993207691379,40.0,1.0,2,4,700
309,0.04735744895641104,0.07068571345147802,0.890899320769138,40.0,1.0,2,2,700
307,0.047405282062857504,0.07068584214628798,0.8908989234978004,40.0,1.0,2,2,300
310,0.047405282062857504,0.07068584214628798,0.8908989234978004,40.0,1.0,2,4,300
308,0.047377398701264783,0.07069073110235506,0.8908838311172175,40.0,1.0,2,2,500
311,0.047377398701264783,0.07069073110235508,0.8908838311172175,40.0,1.0,2,4,500
65,0.04737473333599967,0.07069242123217287,0.8908786133837922,,1.0,2,2,500
68,0.04737473333599967,0.07069242123217288,0.890878613383792,,1.0,2,4,500
109,0.047577673547141076,0.07069899296785802,0.8908583240732724,20.0,0.8,1,2,300
112,0.0474977823758348,0.07070287001620847,0.8908463533466946,20.0,0.8,1,4,300
64,0.04742210002546862,0.07070319947710757,0.8908453360770323,,1.0,2,2,300
67,0.047422100025468615,0.07070319947710757,0.8908453360770323,,1.0,2,4,300
191,0.047651333201687705,0.07070463942726482,0.8908408899168249,30.0,0.8,1,2,500
276,0.047603539192964416,0.0707058162411549,0.890837256179999,40.0,0.8,1,4,700
194,0.04762335300560609,0.07070596172153508,0.8908368069650785,30.0,0.8,1,4,500
190,0.04768231397401858,0.07070702275655034,0.8908335306688108,30.0,0.8,1,2,300
164,0.04776920873063538,0.07071551053757519,0.8908073200700631,30.0,0.6,1,2,500
192,0.0476275635582445,0.070716569070922,0.8908040510571652,30.0,0.8,1,2,700
31,0.047579375725825455,0.07072105259094187,0.8907902042953758,,0.8,1,4,300
142,0.047324825581023654,0.07072447112392882,0.8907796460160892,20.0,1.0,1,8,300
246,0.047830565203206915,0.0707311289627416,0.8907590815430724,40.0,0.6,1,2,700
5,0.04779357899707552,0.07073637848930273,0.8907428656451483,,0.6,1,4,500
273,0.0476435641983552,0.07074183610914524,0.8907260056667305,40.0,0.8,1,2,700
4,0.04787636690423427,0.07074400090035445,0.8907193177147409,,0.6,1,4,300
1,0.04778117493386018,0.07074446786140319,0.8907178750485141,,0.6,1,2,300
163,0.04775473881749955,0.07074497965196948,0.8907162938715086,30.0,0.6,1,2,300
143,0.04733476338116937,0.07074519771609385,0.8907156201588995,20.0,1.0,1,8,500
30,0.04762546051064698,0.07075029596106075,0.8906998684574906,,0.8,1,2,700
