Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,Rainfall_mm,Temperature_C
2026-06-18,2026-06-25,25,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,0.4285714328289032,9.73393102735281,29.815612774803583
2026-06-25,2026-07-02,26,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,37.593829572200775,25.26807256426133
2026-07-02,2026-07-09,27,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,12.285294838249683,24.377991158621683
2026-07-09,2026-07-16,28,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,0.5639657825231552,26.234442828950478
2026-07-16,2026-07-23,29,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,82.91790942847729,24.398209962390695
2026-07-23,2026-07-30,30,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,43.47792012989521,24.37571387518028
2026-07-30,2026-08-06,31,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,41.26886346191168,24.433508991059796
2026-08-06,2026-08-13,32,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,18.97178292274475,24.862773877098505
2026-08-13,2026-08-20,33,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,4.734583854675293,24.55590736752464
2026-08-20,2026-08-27,34,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,16.649150997400284,24.792520232427705
2026-08-27,2026-09-03,35,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,0.6971197128295898,5.446949638426304,24.69535871233262
2026-09-03,2026-09-10,36,2026,P067,18.280552688555268,77.0569977719007,Latur,high,priority,,3.1083181723952293,24.360303497314476
2026-06-18,2026-06-25,25,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,0.20234869420528412,4.457667164504528,29.864929181053583
2026-06-25,2026-07-02,26,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,38.406783036887646,25.34636032467796
2026-07-02,2026-07-09,27,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,12.050799302756786,24.224194190615663
2026-07-09,2026-07-16,28,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,2.26360110193491,25.94113693237307
2026-07-16,2026-07-23,29,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,68.23768815398216,24.301611655099066
2026-07-23,2026-07-30,30,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,30.249111525714397,24.365390214466004
2026-07-30,2026-08-06,31,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,36.622287556529045,24.393795449393167
2026-08-06,2026-08-13,32,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,0.6797624230384827,19.705135978758335,24.793240301949652
2026-08-13,2026-08-20,33,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,6.329581446945667,24.546641649518733
2026-08-20,2026-08-27,34,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,11.257837556302547,24.818643279302705
2026-08-27,2026-09-03,35,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,4.039325594902039,24.718482317243343
2026-09-03,2026-09-10,36,2026,P068,18.10182178118835,76.86595913358097,Latur,high,priority,,3.3309918642044067,24.352857208251976
2026-06-18,2026-06-25,25,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,10.533766098320484,30.90354990277973
2026-06-25,2026-07-02,26,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,40.12986432760954,26.09232619149344
2026-07-02,2026-07-09,27,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,9.564100250601768,25.401870436895535
2026-07-09,2026-07-16,28,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,0.5744953155517578,27.441997237432588
2026-07-16,2026-07-23,29,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,81.63796741515398,25.52786026000979
2026-07-23,2026-07-30,30,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,53.64087554067373,25.331861568632632
2026-07-30,2026-08-06,31,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,67.13062307238579,25.367928168887204
2026-08-06,2026-08-13,32,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,25.68559005856514,25.850125067574652
2026-08-13,2026-08-20,33,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,6.055025413632393,25.52156491960801
2026-08-20,2026-08-27,34,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,,22.242365643382072,25.84441755385626
2026-08-27,2026-09-03,35,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,0.8221182227134705,4.773795545101166,25.825078764415878
2026-09-03,2026-09-10,36,2026,P069,18.595077104748384,77.2028433593965,Latur,high,priority,0.8857399821281433,3.131015993654728,25.54613520304366
2026-06-18,2026-06-25,25,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,9.015434570610523,30.572285951886897
2026-06-25,2026-07-02,26,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,38.666201531887054,25.872308985392237
2026-07-02,2026-07-09,27,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,11.074094183743,25.096287754603793
2026-07-09,2026-07-16,28,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,0.5884178131818771,27.057243238176625
2026-07-16,2026-07-23,29,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,84.1559903845191,25.19701483590262
2026-07-23,2026-07-30,30,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,49.7959391400218,25.043252472650465
2026-07-30,2026-08-06,31,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,55.08631058782339,25.070425378708592
2026-08-06,2026-08-13,32,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,0.6809991598129272,24.416522949934006,25.545123672485374
2026-08-13,2026-08-20,33,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,5.402882695198059,25.231549108596084
2026-08-20,2026-08-27,34,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,20.280529886484146,25.512653695969334
2026-08-27,2026-09-03,35,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,0.7194280624389648,5.198237739503384,25.474888102213583
2026-09-03,2026-09-10,36,2026,P070,18.414990253737063,77.15322456154995,Latur,high,priority,,3.1185494139790535,25.19815343221029
2026-06-18,2026-06-25,25,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,0.2931506931781769,3.2778567895293236,29.634658068702322
2026-06-25,2026-07-02,26,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,37.60368412733078,25.20096876961844
2026-07-02,2026-07-09,27,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,11.669830732047558,23.991760689871683
2026-07-09,2026-07-16,28,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,3.090169809758663,25.706622423444514
2026-07-16,2026-07-23,29,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,65.89915301650763,24.13667722429551
2026-07-23,2026-07-30,30,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,25.82998152822256,24.227822785150465
2026-07-30,2026-08-06,31,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,33.44628231227398,24.226559121268167
2026-08-06,2026-08-13,32,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,17.698660604655743,24.585430127098505
2026-08-13,2026-08-20,33,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,5.660668790340424,24.366279856363974
2026-08-20,2026-08-27,34,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,9.321671783924103,24.652988052368187
2026-08-27,2026-09-03,35,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,2.303237311542034,24.578054954892195
2026-09-03,2026-09-10,36,2026,P071,18.14913758021374,76.63019555341555,Latur,high,priority,,2.542378179728985,24.17784907023116
2026-06-18,2026-06-25,25,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,0.6690091490745544,4.475508019328117,29.76012309846425
2026-06-25,2026-07-02,26,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,39.90878776460886,25.354428591047053
2026-07-02,2026-07-09,27,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,11.72559154778719,24.148917497907405
2026-07-09,2026-07-16,28,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,2.8203998133540154,25.88553099859331
2026-07-16,2026-07-23,29,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,68.14375138282776,24.240983399890695
2026-07-23,2026-07-30,30,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,0.6026901006698608,26.868365459144115,24.307470757620706
2026-07-30,2026-08-06,31,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,37.76848193258047,24.312171100434853
2026-08-06,2026-08-13,32,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,0.6672104597091675,17.91094958037138,24.677133996146097
2026-08-13,2026-08-20,33,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,6.146664634346962,24.43295349847699
2026-08-20,2026-08-27,34,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,11.314859703183174,24.725416437784816
2026-08-27,2026-09-03,35,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,0.6885764002799988,4.178836859762669,24.620814441499306
2026-09-03,2026-09-10,36,2026,P072,18.28339531825639,76.77331673398585,Latur,high,priority,,2.92360470443964,24.27347081502279
2026-06-18,2026-06-25,25,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,0.22201375663280487,1.5536686554551125,29.82094899132136
