point_id,Year,Week_Number,Week_Start,Week_End,Rainfall_GSMaP,GSMaP_Image_Count
P001,2021,2,2021-01-08,2021-01-15,11.799216739833357,168
P001,2021,3,2021-01-15,2021-01-22,0.0,168
P001,2021,4,2021-01-22,2021-01-29,0.0,168
P001,2021,5,2021-01-29,2021-02-05,0.0,168
P001,2021,6,2021-02-05,2021-02-12,0.0,168
P001,2021,7,2021-02-12,2021-02-19,3.9041564017534256,168
P001,2021,8,2021-02-19,2021-02-26,0.0,168
P001,2021,9,2021-02-26,2021-03-05,0.0,168
P001,2021,10,2021-03-05,2021-03-12,0.0,168
P001,2021,11,2021-03-12,2021-03-19,0.0,168
P001,2021,12,2021-03-19,2021-03-26,0.1206360906362533,168
P001,2021,13,2021-03-26,2021-04-02,0.0,168
P001,2021,14,2021-04-02,2021-04-09,0.0,168
P001,2021,15,2021-04-09,2021-04-16,1.7552312389016151,168
P001,2021,16,2021-04-16,2021-04-23,0.0,168
P001,2021,17,2021-04-23,2021-04-30,3.747859954833984,168
P001,2021,18,2021-04-30,2021-05-07,7.906503193080425,168
P001,2021,19,2021-05-07,2021-05-14,0.0,168
P001,2021,20,2021-05-14,2021-05-21,29.906516194343567,168
P001,2021,21,2021-05-21,2021-05-28,2.0329642072319984,168
P001,2021,22,2021-05-28,2021-06-04,34.90475468337536,168
P001,2021,23,2021-06-04,2021-06-11,35.29410048574209,168
P001,2021,24,2021-06-11,2021-06-18,19.878867030143734,168
P001,2021,25,2021-06-18,2021-06-25,10.754514448344707,168
P001,2021,26,2021-06-25,2021-07-02,35.3884204402566,168
P001,2021,27,2021-07-02,2021-07-09,2.5633873492479324,168
P001,2021,28,2021-07-09,2021-07-16,24.229478619992733,168
P001,2021,29,2021-07-16,2021-07-23,27.106704145669937,168
P001,2021,30,2021-07-23,2021-07-30,8.08341721445322,168
P001,2021,31,2021-07-30,2021-08-06,0.1802039593458175,168
P001,2021,32,2021-08-06,2021-08-13,0.0,168
P001,2021,33,2021-08-13,2021-08-20,60.0394429937005,168
P001,2021,34,2021-08-20,2021-08-27,9.689275674521925,168
P001,2021,35,2021-08-27,2021-09-03,20.67335589230061,168
P001,2021,36,2021-09-03,2021-09-10,76.15636084973812,168
P001,2021,37,2021-09-10,2021-09-17,25.00477224588394,168
P001,2021,38,2021-09-17,2021-09-24,29.880717933177948,168
P001,2021,39,2021-09-24,2021-10-01,45.00869048386812,168
P001,2021,40,2021-10-01,2021-10-08,27.0053755864501,168
P001,2021,41,2021-10-08,2021-10-15,7.858489260077476,168
P001,2021,42,2021-10-15,2021-10-22,4.9884431809186935,168
P001,2021,43,2021-10-22,2021-10-29,0.0,168
P001,2021,44,2021-10-29,2021-11-05,0.0,168
P001,2021,45,2021-11-05,2021-11-12,7.643423490226269,168
P001,2021,46,2021-11-12,2021-11-19,1.397157609462738,168
P001,2021,47,2021-11-19,2021-11-26,5.950452171266079,168
P001,2021,48,2021-11-26,2021-12-03,22.85661899298429,168
P001,2021,49,2021-12-03,2021-12-10,1.4005721509456637,168
P001,2021,50,2021-12-10,2021-12-17,0.0,168
P001,2021,51,2021-12-17,2021-12-24,0.0,168
P001,2021,52,2021-12-24,2021-12-31,0.0,168
P001,2022,1,2022-01-01,2022-01-08,0.0,168
P001,2022,2,2022-01-08,2022-01-15,0.0,168
P001,2022,3,2022-01-15,2022-01-22,0.0,168
P001,2022,4,2022-01-22,2022-01-29,0.0,168
P001,2022,5,2022-01-29,2022-02-05,0.0,168
P001,2022,6,2022-02-05,2022-02-12,0.0,168
P001,2022,7,2022-02-12,2022-02-19,0.0,168
P001,2022,8,2022-02-19,2022-02-26,0.0,168
P001,2022,9,2022-02-26,2022-03-05,0.0,168
