point_id,latitude,longitude,cropland_percentage,cropland_threshold_percent,district,sampling_priority,region_type,grid_spacing_m,sampling_method,case_anchor_lat,case_anchor_lon,case_search_radius_m
P084,18.463624680619493,76.82249738663205,99.71711347469805,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P085,18.147883987773707,76.77194494109243,96.28518953530082,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P086,21.054129210651336,79.5679875883845,89.25624764003558,50,Nagpur,normal,statewide,10000,agricultural_grid_sampling,,,
P087,21.146766257753796,79.47473699641986,96.47028471711225,50,Nagpur,normal,statewide,10000,agricultural_grid_sampling,,,
P088,21.34780372122661,78.61442656106165,80.52763302355056,50,Nagpur,normal,statewide,10000,agricultural_grid_sampling,,,
P089,21.165375497165932,78.70615269573301,59.66145851918934,50,Nagpur,normal,statewide,10000,agricultural_grid_sampling,,,
P090,19.201967629201047,77.42470015177067,68.39273419509986,50,Nanded,normal,statewide,10000,agricultural_grid_sampling,,,
P091,18.566036353278363,77.69964084605576,91.6675382063239,50,Nanded,normal,statewide,10000,agricultural_grid_sampling,,,
P092,19.736598780066394,77.90946370206285,87.17326671291109,50,Nanded,normal,statewide,10000,agricultural_grid_sampling,,,
P093,18.935648858652954,77.04115567161334,93.11136445976949,50,Nanded,normal,statewide,10000,agricultural_grid_sampling,,,
P094,21.564917417520082,74.08292752470004,78.56310478511953,50,Nandurbar,normal,statewide,10000,agricultural_grid_sampling,,,
P095,21.566260131807255,74.37266561114595,96.77195718839232,50,Nandurbar,normal,statewide,10000,agricultural_grid_sampling,,,
P096,21.385180211602837,74.27697623669957,94.81632588414685,50,Nandurbar,normal,statewide,10000,agricultural_grid_sampling,,,
P097,21.565420953465182,74.17950433296862,95.2286360059037,50,Nandurbar,normal,statewide,10000,agricultural_grid_sampling,,,
P098,20.29955470659202,73.99482828423106,50.325530748244915,50,Nashik,normal,statewide,10000,agricultural_grid_sampling,,,
P099,20.120253643724507,74.28296490318493,93.37506485273359,50,Nashik,normal,statewide,10000,agricultural_grid_sampling,,,
P100,20.38990406751678,73.99424378044131,54.56639207669084,50,Nashik,normal,statewide,10000,agricultural_grid_sampling,,,
P101,20.0290171395562,74.09216437851921,75.93456800681305,50,Nashik,normal,statewide,10000,agricultural_grid_sampling,,,
P102,17.857493423161223,76.36802639219735,94.4715734704246,50,Osmanabad,normal,statewide,10000,agricultural_grid_sampling,,,
P103,17.76645032706721,76.46164732334272,99.96398076081543,50,Osmanabad,normal,statewide,10000,agricultural_grid_sampling,,,
P104,17.94909369090641,76.17989716380863,83.69146340843812,50,Osmanabad,normal,statewide,10000,agricultural_grid_sampling,,,
P105,18.58435973877444,75.61558097081678,96.0740528075646,50,Osmanabad,normal,statewide,10000,agricultural_grid_sampling,,,
P106,19.03138997943809,76.47235839455523,63.68191479086417,50,Parbhani,normal,statewide,10000,agricultural_grid_sampling,,,
P107,19.120950439190743,76.56820430427678,92.32667700544064,50,Parbhani,normal,statewide,10000,agricultural_grid_sampling,,,
P108,19.20862693926256,76.8543265690433,72.67340153627146,50,Parbhani,normal,statewide,10000,agricultural_grid_sampling,,,
P109,19.212081250319223,76.47395986197544,83.75350902950677,50,Parbhani,normal,statewide,10000,agricultural_grid_sampling,,,
P110,18.133444010013253,75.04679403290585,76.21456987051111,50,Pune,normal,statewide,10000,agricultural_grid_sampling,,,
P111,18.58464538564485,74.47919354725165,78.10190215282077,50,Pune,normal,statewide,10000,agricultural_grid_sampling,,,
P112,18.132980814974324,74.57507660981437,66.05952773923671,50,Pune,normal,statewide,10000,agricultural_grid_sampling,,,
P113,18.314072296666144,74.76389622640646,67.3534789980305,50,Pune,normal,statewide,10000,agricultural_grid_sampling,,,
P114,18.485032306916423,73.05892228360682,66.29741688846539,50,Raigarh,normal,statewide,10000,agricultural_grid_sampling,,,
P115,18.665689834631397,73.05687599164844,90.2697368719168,50,Raigarh,normal,statewide,10000,agricultural_grid_sampling,,,
P116,18.3061985346248,73.2500988874055,58.221472314125535,50,Raigarh,normal,statewide,10000,agricultural_grid_sampling,,,
P117,18.21403916541149,73.06194778248802,66.96949429993379,50,Raigarh,normal,statewide,10000,agricultural_grid_sampling,,,
P118,17.138720997929042,75.42259975145441,58.77822320443079,50,Sangli,normal,statewide,10000,agricultural_grid_sampling,,,
P119,17.04876260195439,74.9534842990718,66.2051091548469,50,Sangli,normal,statewide,10000,agricultural_grid_sampling,,,
P120,16.86706971713336,74.39025348558496,64.00476985967975,50,Sangli,normal,statewide,10000,agricultural_grid_sampling,,,
P121,17.048502455833038,74.67157288401357,68.98466564111858,50,Sangli,normal,statewide,10000,agricultural_grid_sampling,,,
P122,17.88145913779893,73.84414614882726,76.35869028997944,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P123,17.38641260388394,74.27088773470784,63.38439355154875,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P124,17.43262751534812,74.64735201634261,50.355912944656154,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P125,17.567348437354763,74.31728131835848,79.82015775568429,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P126,17.205082382474966,74.1305384631723,65.6365716990181,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P127,17.657731955249755,74.3169413996194,82.73406733763137,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P128,18.019948584413015,74.55173087225268,74.00024992187645,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P129,18.06323481607527,74.03192812643125,76.77013118683456,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P130,17.611359998103804,74.03436716610639,81.15193852980063,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P131,17.612540300385028,74.3171116124233,76.2434212780096,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P132,17.702177456221428,74.12817780572122,83.45904908645882,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P133,17.250064948613193,74.08329657776991,57.22544937334382,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P134,17.4764289480397,74.17634929516423,75.13903427007247,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P135,17.882715946991155,74.08010584957506,75.32721325355224,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P136,17.928522360964205,74.22149301456467,72.69563496770446,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P137,17.746686666064683,73.98648592377798,72.25762976619947,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P138,17.612697661693186,74.3642376648234,68.71243787262223,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P139,17.656773870174835,74.08126072778265,63.033982207254745,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P140,17.97464193112085,74.50462234463598,82.19555886976848,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P141,17.43082654622359,74.08239854381202,52.123771180666104,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P142,18.06444740500827,74.31538657772978,59.282112709681144,50,Satara,high,priority,5000,priority_agricultural_grid,,,
