Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2021-01-01,2021-01-08,1.0,2021,P033,21.38667804512237,75.14422248324037,Dhule,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.115433175223245,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P034,21.0251519681132,74.75989256344387,Dhule,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.58153250558036,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P035,21.477028350667293,74.85568743137505,Dhule,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.06266392299108,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P036,20.933820660336515,74.37533522949364,Dhule,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,22.383034551711376,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P037,19.96305652459713,79.91698116388667,Garhchiroli,normal,statewide,0.3708647787570953,1.0,71.0,65.0,80.0,2.90820860862732,1,7,CHIRPS Daily v2.0,23.84496023995536,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P038,19.062661462582188,79.88977172925856,Garhchiroli,normal,statewide,0.5092097520828247,1.0,71.0,65.0,80.0,4.087122440338135,1,7,CHIRPS Daily v2.0,24.00482584635415,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P039,19.510270485428137,79.9981368030594,Garhchiroli,normal,statewide,0.482676237821579,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,24.475610351562523,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P040,19.87036519099916,80.00935144220881,Garhchiroli,normal,statewide,0.3630659580230713,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,23.961159551711376,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P041,21.1276399467256,80.1465044724107,Gondiya,normal,statewide,0.2300683408975601,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.674945359002947,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P042,21.39759838360225,80.15591763473452,Gondiya,normal,statewide,0.3159253895282745,1.0,71.0,65.0,80.0,4.248505115509033,1,7,CHIRPS Daily v2.0,22.28636648995536,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
