Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm,Difference_mm,Absolute_Difference_mm,Relative_Difference_Percent
2026-06-18,2026-06-25,25,2026,P075,33.65203619003296,9.397008299827576,-24.255027890205383,24.255027890205383,-72.07595924727201
2026-06-25,2026-07-02,26,2026,P075,44.970481872558594,39.1711657717824,-5.7993161007761955,5.7993161007761955,-12.895828239534591
2026-07-02,2026-07-09,27,2026,P075,11.436162948608398,10.53805474191904,-0.8981082066893578,0.8981082066893578,-7.853230237495377
2026-07-09,2026-07-16,28,2026,P075,0.0,0.5988886505365372,0.5988886505365372,0.5988886505365372,
2026-07-16,2026-07-23,29,2026,P075,58.38932228088379,86.88907999545336,28.49975771456957,28.49975771456957,48.80987927462239
2026-07-23,2026-07-30,30,2026,P075,73.8767499923706,53.0719435736537,-20.804806418716908,20.804806418716908,-28.16150740370341
2026-07-30,2026-08-01,31,2026,P075,82.08527565002441,41.79447674751282,-40.2907989025116,40.2907989025116,-49.08407577784581
2026-06-18,2026-06-25,25,2026,P076,18.011690139770508,1.44133859872818,-16.570351541042328,16.570351541042328,-91.99776041257978
2026-06-25,2026-07-02,26,2026,P076,40.5640344619751,46.05720487982035,5.493170417845249,5.493170417845249,13.54197256437737
2026-07-02,2026-07-09,27,2026,P076,7.533113956451416,3.4330781921744347,-4.100035764276981,4.100035764276981,-54.426838462541504
2026-07-09,2026-07-16,28,2026,P076,0.0,4.90209786593914,4.90209786593914,4.90209786593914,
2026-07-16,2026-07-23,29,2026,P076,55.14790058135986,51.20139121264219,-3.9465093687176704,3.9465093687176704,-7.156227756839762
2026-07-23,2026-07-30,30,2026,P076,44.48946762084961,11.271841123700142,-33.21762649714947,33.21762649714947,-74.66402335995208
2026-07-30,2026-08-01,31,2026,P076,76.26765632629395,18.522050984203815,-57.74560534209013,57.74560534209013,-75.71440912650914
2026-06-18,2026-06-25,25,2026,P077,17.730791091918945,0.5177658349275589,-17.213025256991386,17.213025256991386,-97.07984921686017
2026-06-25,2026-07-02,26,2026,P077,45.552213191986084,37.07199990749359,-8.480213284492493,8.480213284492493,-18.616468202656726
2026-07-02,2026-07-09,27,2026,P077,10.491083145141602,9.887736469507217,-0.6033466756343842,0.6033466756343842,-5.751042740651548
2026-07-09,2026-07-16,28,2026,P077,0.0,3.6287604570388794,3.6287604570388794,3.6287604570388794,
2026-07-16,2026-07-23,29,2026,P077,55.123008728027344,62.66998814791441,7.546979419887066,7.546979419887066,13.691160177999858
2026-07-23,2026-07-30,30,2026,P077,54.34176254272461,23.10404870659113,-31.23771383613348,31.23771383613348,-57.483806881629484
2026-07-30,2026-08-01,31,2026,P077,67.92720317840576,20.60975693911314,-47.31744623929262,47.31744623929262,-69.65905266998386
2026-06-18,2026-06-25,25,2026,P078,24.844935417175293,5.482310131192207,-19.362625285983086,19.362625285983086,-77.93389260572484
2026-06-25,2026-07-02,26,2026,P078,44.04661178588867,37.59627416729927,-6.450337618589401,6.450337618589401,-14.644344609171306
2026-07-02,2026-07-09,27,2026,P078,0.0,12.148284614086151,12.148284614086151,12.148284614086151,
2026-07-09,2026-07-16,28,2026,P078,0.0,0.718842014670372,0.718842014670372,0.718842014670372,
2026-07-16,2026-07-23,29,2026,P078,62.26522445678711,73.80088103562593,11.535656578838825,11.535656578838825,18.526644173337438
2026-07-23,2026-07-30,30,2026,P078,59.39534378051758,35.477468974888325,-23.917874805629253,23.917874805629253,-40.268939083865725
2026-07-30,2026-08-01,31,2026,P078,74.24417972564697,27.400451071560383,-46.84372865408659,46.84372865408659,-63.09414263473215
2026-06-18,2026-06-25,25,2026,P079,18.468732833862305,11.58830976486206,-6.880423069000244,6.880423069000244,-37.25444041501879
2026-06-25,2026-07-02,26,2026,P079,57.151347160339355,37.5541969537735,-19.597150206565857,19.597150206565857,-34.289918226399145
2026-07-02,2026-07-09,27,2026,P079,0.0,7.562757298350334,7.562757298350334,7.562757298350334,
2026-07-09,2026-07-16,28,2026,P079,0.0,0.42035503685474396,0.42035503685474396,0.42035503685474396,
2026-07-16,2026-07-23,29,2026,P079,92.51276779174805,62.73318571597338,-29.77958207577467,29.77958207577467,-32.18969963455244
2026-07-23,2026-07-30,30,2026,P079,70.77416610717773,22.48306966573,-48.291096441447735,48.291096441447735,-68.23266044324353
2026-07-30,2026-08-01,31,2026,P079,117.95693969726562,59.913346350193024,-58.0435933470726,58.0435933470726,-49.207442560005745
2026-06-18,2026-06-25,25,2026,P080,19.77889633178711,2.9725123792886734,-16.806383952498436,16.806383952498436,-84.97129299114896
2026-06-25,2026-07-02,26,2026,P080,40.66900300979614,40.47968916594982,-0.1893138438463211,0.1893138438463211,-0.4654991021066343
