Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm
2026-07-23,2026-07-30,30,2026,P064,61.471553802490234,27.787586584687233
2026-07-30,2026-08-01,31,2026,P064,76.8394422531128,26.609292224049568
2026-06-18,2026-06-25,25,2026,P065,20.42111587524414,2.266599915921688
2026-06-25,2026-07-02,26,2026,P065,43.242961406707764,44.64835062623024
2026-07-02,2026-07-09,27,2026,P065,7.1733551025390625,5.589311197400093
2026-07-09,2026-07-16,28,2026,P065,0.0,4.00525276362896
2026-07-16,2026-07-23,29,2026,P065,59.31424140930176,56.59867166727781
2026-07-23,2026-07-30,30,2026,P065,56.53912162780762,15.035408936440945
2026-07-30,2026-08-01,31,2026,P065,69.1033706665039,24.399334877729416
2026-06-18,2026-06-25,25,2026,P066,19.588871002197266,2.1657121181488037
2026-06-25,2026-07-02,26,2026,P066,48.71277618408203,39.760984010994434
2026-07-02,2026-07-09,27,2026,P066,9.747139930725098,8.821818880736828
2026-07-09,2026-07-16,28,2026,P066,0.0,3.5866723135113716
2026-07-16,2026-07-23,29,2026,P066,53.426618576049805,63.70939467102289
2026-07-23,2026-07-30,30,2026,P066,35.145652770996094,21.66640516370535
2026-07-30,2026-08-01,31,2026,P066,87.86413192749023,23.134379036724567
2026-06-18,2026-06-25,25,2026,P067,35.765868186950684,9.73393102735281
2026-06-25,2026-07-02,26,2026,P067,55.39384341239929,37.593829572200775
2026-07-02,2026-07-09,27,2026,P067,5.668384075164795,12.285294838249683
2026-07-09,2026-07-16,28,2026,P067,0.0,0.5639657825231552
2026-07-16,2026-07-23,29,2026,P067,49.60155487060547,82.91790942847729
2026-07-23,2026-07-30,30,2026,P067,63.54376029968262,43.47792012989521
2026-07-30,2026-08-01,31,2026,P067,79.42970275878906,29.51206048578024
2026-06-18,2026-06-25,25,2026,P068,22.617950439453125,4.457667164504528
2026-06-25,2026-07-02,26,2026,P068,41.99636363983154,38.406783036887646
2026-07-02,2026-07-09,27,2026,P068,6.79621696472168,12.050799302756786
2026-07-09,2026-07-16,28,2026,P068,0.0,2.26360110193491
2026-07-16,2026-07-23,29,2026,P068,54.23623085021973,68.23768815398216
2026-07-23,2026-07-30,30,2026,P068,64.57398891448975,30.249111525714397
2026-07-30,2026-08-01,31,2026,P068,71.27193927764893,27.30684994906187
2026-06-18,2026-06-25,25,2026,P069,20.805205821990967,10.533766098320484
2026-06-25,2026-07-02,26,2026,P069,52.695438385009766,40.12986432760954
2026-07-02,2026-07-09,27,2026,P069,9.946533203125,9.564100250601768
2026-07-09,2026-07-16,28,2026,P069,0.0,0.5744953155517578
2026-07-16,2026-07-23,29,2026,P069,73.9158182144165,81.63796741515398
2026-07-23,2026-07-30,30,2026,P069,88.14936447143555,53.64087554067373
2026-07-30,2026-08-01,31,2026,P069,73.45780372619629,52.62994787096977
2026-06-18,2026-06-25,25,2026,P070,33.88431692123413,9.015434570610523
2026-06-25,2026-07-02,26,2026,P070,45.573486328125,38.666201531887054
2026-07-02,2026-07-09,27,2026,P070,9.587451934814453,11.074094183743
2026-07-09,2026-07-16,28,2026,P070,0.0,0.5884178131818771
2026-07-16,2026-07-23,29,2026,P070,61.16454362869263,84.1559903845191
2026-07-23,2026-07-30,30,2026,P070,73.18672180175781,49.7959391400218
2026-07-30,2026-08-01,31,2026,P070,81.31857872009277,41.593132093548775
2026-06-18,2026-06-25,25,2026,P071,18.603025436401367,3.2778567895293236
2026-06-25,2026-07-02,26,2026,P071,48.88963222503662,37.60368412733078
2026-07-02,2026-07-09,27,2026,P071,9.944543838500977,11.669830732047558
2026-07-09,2026-07-16,28,2026,P071,0.0,3.090169809758663
2026-07-16,2026-07-23,29,2026,P071,60.16024589538574,65.89915301650763
2026-07-23,2026-07-30,30,2026,P071,42.374542236328125,25.82998152822256
2026-07-30,2026-08-01,31,2026,P071,84.74908828735352,25.56114476174116
2026-06-18,2026-06-25,25,2026,P072,24.73465919494629,4.475508019328117
2026-06-25,2026-07-02,26,2026,P072,43.08073425292969,39.90878776460886
2026-07-02,2026-07-09,27,2026,P072,9.073594093322754,11.72559154778719
2026-07-09,2026-07-16,28,2026,P072,0.0,2.8203998133540154
2026-07-16,2026-07-23,29,2026,P072,56.19587707519531,68.14375138282776
2026-07-23,2026-07-30,30,2026,P072,56.37604808807373,26.868365459144115
2026-07-30,2026-08-01,31,2026,P072,80.5372142791748,29.19990049302578
